Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1972,7,1 ,s/p,s/p,s/p,s/p,s/p,s/p
1972,7,2 ,s/p,s/p,s/p,s/p,s/p,s/p
1972,7,3 ,s/p,s/p,,s/p,s/p,s/p
1972,7,4 ,s/p,s/p,s/p,s/p,s/p,s/p
1972,7,5 ,s/p,s/p,6.8,16.6,23.4,23.4
1972,7,6 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,7 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,8 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,9 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,10 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,11 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,12 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,13 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,14 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,15 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,16 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,17 ,s/p,s/p,s/p,s/p,s/p,23.4
1972,7,18 ,s/p,s/p,2.3,0.3,2.6,26.0
1972,7,19 ,s/p,s/p,s/p,s/p,s/p,26.0
1972,7,20 ,s/p,0.2,s/p,s/p,0.2,26.2
1972,7,21 ,s/p,s/p,s/p,s/p,s/p,26.2
1972,7,22 ,s/p,s/p,s/p,s/p,s/p,26.2
1972,7,23 ,s/p,s/p,s/p,s/p,s/p,26.2
1972,7,24 ,s/p,s/p,s/p,s/p,s/p,26.2
1972,7,25 ,s/p,s/p,s/p,s/p,s/p,26.2
1972,7,26 ,s/p,s/p,s/p,s/p,s/p,26.2
1972,7,27 ,s/p,s/p,s/p,s/p,s/p,26.2
1972,7,28 ,s/p,s/p,s/p,s/p,s/p,26.2
1972,7,29 ,s/p,s/p,s/p,s/p,s/p,26.2
1972,7,30 ,s/p,s/p,s/p,s/p,s/p,26.2
1972,7,31 ,s/p,s/p,s/p,s/p,s/p,26.2
