Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1976,6,1 ,,,,,s/p,s/p
1976,6,2 ,,,,,s/p,s/p
1976,6,3 ,,,,,s/p,s/p
1976,6,4 ,,,,,5.0,5.0
1976,6,5 ,,,,,33.5,38.5
1976,6,6 ,,,,,s/p,38.5
1976,6,7 ,,,,,s/p,38.5
1976,6,8 ,,,,,s/p,38.5
1976,6,9 ,,,,,s/p,38.5
1976,6,10 ,,,,,s/p,38.5
1976,6,11 ,,,,,3.5,42.0
1976,6,12 ,,,,,4.5,46.5
1976,6,13 ,,,,,s/p,46.5
1976,6,14 ,,,,,s/p,46.5
1976,6,15 ,,,,,s/p,46.5
1976,6,16 ,,,,,s/p,46.5
1976,6,17 ,,,,,s/p,46.5
1976,6,18 ,,,,,s/p,46.5
1976,6,19 ,,,,,s/p,46.5
1976,6,20 ,,,,,s/p,46.5
1976,6,21 ,,,,,s/p,46.5
1976,6,22 ,,,,,s/p,46.5
1976,6,23 ,,,,,s/p,46.5
1976,6,24 ,,,,,s/p,46.5
1976,6,25 ,,,,,s/p,46.5
1976,6,26 ,,,,,s/p,46.5
1976,6,27 ,,,,,s/p,46.5
1976,6,28 ,,,,,s/p,46.5
1976,6,29 ,,,,,s/p,46.5
1976,6,30 ,,,,,s/p,46.5
