Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1979,8,1 ,,,,,s/p,s/p
1979,8,2 ,,,,,s/p,s/p
1979,8,3 ,,,,,s/p,s/p
1979,8,4 ,,,,,s/p,s/p
1979,8,5 ,,,,,s/p,s/p
1979,8,6 ,,,,,s/p,s/p
1979,8,7 ,,,,,s/p,s/p
1979,8,8 ,,,,,s/p,s/p
1979,8,9 ,,,,,s/p,s/p
1979,8,10 ,,,,,s/p,s/p
1979,8,11 ,,,,,s/p,s/p
1979,8,12 ,,,,,s/p,s/p
1979,8,13 ,,,,,s/p,s/p
1979,8,14 ,,,,,s/p,s/p
1979,8,15 ,,,,,s/p,s/p
1979,8,16 ,,,,,s/p,s/p
1979,8,17 ,,,,,s/p,s/p
1979,8,18 ,,,,,s/p,s/p
1979,8,19 ,,,,,s/p,s/p
1979,8,20 ,,,,,s/p,s/p
1979,8,21 ,,,,,s/p,s/p
1979,8,22 ,,,,,s/p,s/p
1979,8,23 ,,,,,s/p,s/p
1979,8,24 ,,,,,12.9,12.9
1979,8,25 ,,,,,2.2,15.1
1979,8,26 ,,,,,7.9,23.0
1979,8,27 ,,,,,0.5,23.5
1979,8,28 ,,,,,s/p,23.5
1979,8,29 ,,,,,s/p,23.5
1979,8,30 ,,,,,15.1,38.6
1979,8,31 ,,,,,3.3,41.9
