,Annio,Mes,Dia,Tminima,Tmaxima,MediaClimatologica,MediaAritmetica,Datos
21,2020.0,6.0,22.0,10.5,13.4,11.6,11.6,8.0
22,2020.0,6.0,23.0,6.3,12.5,8.4,8.4,8.0
23,2020.0,6.0,24.0,5.1,11.0,8.1,8.1,8.0
24,2020.0,6.0,25.0,8.5,11.5,9.6,9.7,7.0
25,2020.0,6.0,26.0,9.3,13.3,10.7,10.7,8.0
26,2020.0,6.0,27.0,9.7,13.0,11.5,11.5,8.0
27,2020.0,6.0,28.0,10.5,15.3,12.2,12.2,8.0
28,2020.0,6.0,29.0,9.6,12.5,11.2,11.2,8.0
29,2020.0,6.0,30.0,8.2,13.5,11.0,11.0,8.0
0,2020.0,7.0,1.0,10.5,13.6,12.0,12.0,8.0
1,2020.0,7.0,2.0,8.3,14.7,10.3,10.3,8.0
2,2020.0,7.0,3.0,9.0,14.0,10.7,10.7,8.0
3,2020.0,7.0,4.0,4.5,12.5,8.7,8.7,8.0
4,2020.0,7.0,5.0,5.5,13.5,8.6,8.6,8.0
5,2020.0,7.0,6.0,3.7,11.0,6.6,6.6,8.0
6,2020.0,7.0,7.0,4.5,11.5,8.1,8.1,8.0
7,2020.0,7.0,8.0,7.8,12.1,9.4,9.4,8.0
8,2020.0,7.0,9.0,8.7,13.2,10.8,10.8,8.0
9,2020.0,7.0,10.0,9.0,13.0,11.1,11.1,8.0
10,2020.0,7.0,11.0,8.0,12.2,9.8,9.8,8.0
11,2020.0,7.0,12.0,9.5,12.8,10.4,10.4,8.0
12,2020.0,7.0,13.0,7.5,11.6,9.0,9.0,8.0
13,2020.0,7.0,14.0,3.3,14.4,7.7,7.7,8.0
14,2020.0,7.0,15.0,5.6,12.8,9.2,9.2,8.0
15,2020.0,7.0,16.0,6.0,12.6,11.7,11.7,8.0
16,2020.0,7.0,17.0,11.0,15.3,12.4,12.4,8.0
17,2020.0,7.0,18.0,11.9,13.5,12.9,12.9,8.0
18,2020.0,7.0,19.0,10.8,15.3,12.7,12.7,8.0
19,2020.0,7.0,20.0,9.3,14.4,11.5,11.5,8.0
20,2020.0,7.0,21.0,8.0,12.5,10.6,10.6,8.0
21,2020.0,7.0,22.0,8.5,13.3,10.7,10.7,8.0
22,2020.0,7.0,23.0,4.4,12.3,9.0,9.0,8.0
23,2020.0,7.0,24.0,7.2,13.0,10.3,10.3,8.0
24,2020.0,7.0,25.0,7.8,12.2,11.3,11.3,8.0
25,2020.0,7.0,26.0,10.7,13.8,11.7,11.7,8.0
26,2020.0,7.0,27.0,5.3,11.0,9.4,9.4,8.0
27,2020.0,7.0,28.0,6.8,10.2,8.4,8.4,8.0
28,2020.0,7.0,29.0,6.6,12.2,9.0,9.0,8.0
29,2020.0,7.0,30.0,6.2,12.5,9.5,9.5,8.0
30,2020.0,7.0,31.0,9.0,13.0,11.6,11.6,8.0
0,2020.0,8.0,1.0,11.0,16.3,12.4,12.4,8.0
1,2020.0,8.0,2.0,9.5,13.8,11.9,11.9,8.0
2,2020.0,8.0,3.0,10.0,12.3,11.5,11.5,8.0
3,2020.0,8.0,4.0,7.0,12.3,9.5,9.5,8.0
4,2020.0,8.0,5.0,6.9,12.5,10.3,10.3,8.0
5,2020.0,8.0,6.0,7.5,11.1,9.1,9.1,8.0
6,2020.0,8.0,7.0,8.7,12.9,10.1,10.1,8.0
7,2020.0,8.0,8.0,6.0,13.5,9.5,9.5,8.0
8,2020.0,8.0,9.0,10.0,12.1,11.1,11.1,8.0
9,2020.0,8.0,10.0,7.0,12.1,8.9,8.9,8.0
10,2020.0,8.0,11.0,5.9,12.5,8.8,8.8,8.0
11,2020.0,8.0,12.0,7.0,13.0,9.7,9.7,8.0
12,2020.0,8.0,13.0,8.5,12.0,9.8,9.8,8.0
13,2020.0,8.0,14.0,6.7,13.0,10.1,10.1,8.0
14,2020.0,8.0,15.0,8.0,10.5,9.2,9.2,8.0
15,2020.0,8.0,16.0,5.0,13.4,9.1,9.1,8.0
16,2020.0,8.0,17.0,6.2,12.0,9.5,9.5,8.0
17,2020.0,8.0,18.0,8.0,11.4,9.6,9.6,8.0
18,2020.0,8.0,19.0,7.5,9.5,8.5,8.5,8.0
19,2020.0,8.0,20.0,7.0,12.0,9.4,9.4,8.0
20,2020.0,8.0,21.0,8.9,12.0,10.6,10.6,8.0
21,2020.0,8.0,22.0,9.0,12.5,10.1,10.1,8.0
22,2020.0,8.0,23.0,7.0,12.5,9.6,9.6,8.0
23,2020.0,8.0,24.0,10.0,12.5,11.2,11.2,8.0
24,2020.0,8.0,25.0,10.9,15.2,12.2,12.2,8.0
25,2020.0,8.0,26.0,9.1,13.5,10.9,10.9,8.0
26,2020.0,8.0,27.0,9.0,13.0,10.7,10.7,8.0
27,2020.0,8.0,28.0,9.8,10.3,9.9,9.9,8.0
28,2020.0,8.0,29.0,6.2,12.3,8.7,8.7,8.0
29,2020.0,8.0,30.0,7.0,11.3,9.3,9.3,8.0
30,2020.0,8.0,31.0,8.5,13.5,10.3,10.3,8.0
0,2020.0,9.0,1.0,6.8,14.0,10.6,10.6,8.0
1,2020.0,9.0,2.0,9.4,12.3,10.8,10.8,8.0
2,2020.0,9.0,3.0,8.3,13.1,10.0,10.0,8.0
3,2020.0,9.0,4.0,4.9,11.2,8.6,8.6,8.0
4,2020.0,9.0,5.0,4.5,15.7,9.9,9.9,8.0
5,2020.0,9.0,6.0,5.0,15.2,9.8,9.8,8.0
6,2020.0,9.0,7.0,5.2,14.0,10.3,10.3,8.0
7,2020.0,9.0,8.0,8.6,13.3,11.2,11.2,8.0
8,2020.0,9.0,9.0,4.0,15.2,9.4,9.4,8.0
9,2020.0,9.0,10.0,8.5,14.0,11.4,11.4,8.0
10,2020.0,9.0,11.0,6.5,13.0,9.5,9.5,8.0
11,2020.0,9.0,12.0,6.7,14.2,10.2,10.2,8.0
12,2020.0,9.0,13.0,8.0,13.5,10.2,10.2,8.0
13,2020.0,9.0,14.0,9.2,12.5,10.6,10.6,8.0
14,2020.0,9.0,15.0,9.0,12.5,10.5,10.5,8.0
15,2020.0,9.0,16.0,7.9,14.5,10.7,10.7,8.0
16,2020.0,9.0,17.0,9.2,13.8,11.8,11.8,8.0
17,2020.0,9.0,18.0,8.0,15.0,10.9,10.9,8.0
18,2020.0,9.0,19.0,7.2,12.5,10.1,10.1,8.0
19,2020.0,9.0,20.0,9.8,13.0,11.3,11.3,8.0
20,2020.0,9.0,21.0,9.2,13.0,10.8,10.8,8.0
21,2020.0,9.0,22.0,8.0,13.5,10.7,10.7,8.0
22,2020.0,9.0,23.0,9.8,12.4,10.8,10.8,8.0
23,2020.0,9.0,24.0,9.4,14.2,10.9,10.9,8.0
24,2020.0,9.0,25.0,8.2,13.5,10.6,10.6,8.0
25,2020.0,9.0,26.0,9.3,12.6,11.0,11.0,8.0
26,2020.0,9.0,27.0,9.4,13.2,10.9,10.9,8.0
27,2020.0,9.0,28.0,8.8,13.0,10.3,10.3,8.0
28,2020.0,9.0,29.0,8.5,12.2,10.5,10.5,8.0
29,2020.0,9.0,30.0,6.5,12.5,9.4,9.4,8.0
0,2020.0,10.0,1.0,5.5,12.0,8.3,8.3,8.0
1,2020.0,10.0,2.0,6.0,11.2,9.0,9.0,8.0
2,2020.0,10.0,3.0,6.7,15.1,9.6,9.6,8.0
3,2020.0,10.0,4.0,4.7,15.0,9.9,9.9,8.0
4,2020.0,10.0,5.0,8.5,11.5,9.8,9.8,8.0
5,2020.0,10.0,6.0,4.3,13.5,8.1,8.1,8.0
6,2020.0,10.0,7.0,7.5,13.8,10.1,10.1,8.0
7,2020.0,10.0,8.0,6.0,14.7,10.6,10.6,8.0
8,2020.0,10.0,9.0,10.5,14.3,12.1,12.1,8.0
9,2020.0,10.0,10.0,9.0,13.5,11.1,11.1,8.0
10,2020.0,10.0,11.0,9.5,13.0,11.3,11.3,8.0
11,2020.0,10.0,12.0,9.0,13.1,10.7,10.7,8.0
12,2020.0,10.0,13.0,7.4,13.0,10.4,10.4,8.0
13,2020.0,10.0,14.0,10.2,13.6,11.9,11.9,8.0
14,2020.0,10.0,15.0,9.0,14.5,11.3,11.3,8.0
15,2020.0,10.0,16.0,8.9,14.8,11.2,11.2,8.0
16,2020.0,10.0,17.0,10.0,13.4,11.6,11.6,8.0
17,2020.0,10.0,18.0,10.5,15.9,12.8,12.8,8.0
18,2020.0,10.0,19.0,8.0,14.5,11.5,11.5,8.0
19,2020.0,10.0,20.0,9.5,13.8,11.5,11.5,8.0
20,2020.0,10.0,21.0,8.2,13.5,10.7,10.7,8.0
21,2020.0,10.0,22.0,8.5,14.2,10.7,10.7,8.0
22,2020.0,10.0,23.0,5.2,16.5,10.5,10.5,8.0
23,2020.0,10.0,24.0,10.5,14.2,12.0,12.0,8.0
24,2020.0,10.0,25.0,7.6,14.5,11.1,11.1,8.0
25,2020.0,10.0,26.0,6.5,13.2,9.8,9.8,8.0
26,2020.0,10.0,27.0,8.3,14.0,11.6,11.6,8.0
27,2020.0,10.0,28.0,9.5,14.2,12.0,12.0,8.0
28,2020.0,10.0,29.0,9.3,14.5,11.3,11.3,8.0
29,2020.0,10.0,30.0,10.5,15.0,12.4,12.4,8.0
30,2020.0,10.0,31.0,11.0,16.8,13.1,13.1,8.0
0,2020.0,11.0,1.0,10.1,13.5,12.0,12.0,8.0
1,2020.0,11.0,2.0,10.2,12.6,11.2,11.2,8.0
2,2020.0,11.0,3.0,10.0,15.5,12.2,12.2,8.0
3,2020.0,11.0,4.0,11.0,15.0,12.7,12.7,8.0
4,2020.0,11.0,5.0,8.5,15.0,12.1,12.1,8.0
5,2020.0,11.0,6.0,10.5,16.1,12.4,12.4,8.0
6,2020.0,11.0,7.0,10.2,14.0,11.9,11.9,8.0
7,2020.0,11.0,8.0,10.5,13.6,12.1,12.1,8.0
8,2020.0,11.0,9.0,9.5,13.0,11.3,11.3,8.0
9,2020.0,11.0,10.0,9.8,14.5,11.6,11.6,8.0
10,2020.0,11.0,11.0,10.0,14.4,12.0,12.0,8.0
11,2020.0,11.0,12.0,8.8,18.4,12.8,12.8,8.0
12,2020.0,11.0,13.0,10.5,18.0,13.7,13.7,8.0
13,2020.0,11.0,14.0,9.5,15.0,12.3,12.3,8.0
14,2020.0,11.0,15.0,10.0,15.0,12.2,12.2,8.0
15,2020.0,11.0,16.0,10.5,15.0,12.4,12.4,8.0
16,2020.0,11.0,17.0,10.5,15.0,12.6,12.6,8.0
17,2020.0,11.0,18.0,9.8,14.2,12.0,12.0,8.0
18,2020.0,11.0,19.0,10.3,14.5,12.2,12.2,8.0
19,2020.0,11.0,20.0,10.5,18.5,14.3,14.3,8.0
20,2020.0,11.0,21.0,11.5,18.2,14.2,14.2,8.0
21,2020.0,11.0,22.0,10.1,16.0,13.4,13.4,8.0
22,2020.0,11.0,23.0,12.0,18.0,14.9,14.9,8.0
23,2020.0,11.0,24.0,10.1,19.5,14.2,14.2,8.0
24,2020.0,11.0,25.0,11.5,17.3,14.2,14.2,8.0
25,2020.0,11.0,26.0,10.6,15.0,12.6,12.6,8.0
26,2020.0,11.0,27.0,10.7,16.0,13.1,13.1,8.0
27,2020.0,11.0,28.0,12.8,16.0,14.2,14.2,8.0
28,2020.0,11.0,29.0,11.0,14.4,12.6,12.6,8.0
29,2020.0,11.0,30.0,10.8,15.5,12.9,12.9,8.0
0,2020.0,12.0,1.0,11.4,15.7,13.0,13.0,8.0
1,2020.0,12.0,2.0,11.5,17.3,13.9,13.9,8.0
2,2020.0,12.0,3.0,9.9,15.5,12.9,12.9,8.0
3,2020.0,12.0,4.0,11.0,15.5,13.1,13.1,8.0
4,2020.0,12.0,5.0,11.8,16.3,13.8,13.8,8.0
5,2020.0,12.0,6.0,10.0,15.4,12.7,12.7,8.0
6,2020.0,12.0,7.0,10.0,17.0,12.6,12.6,8.0
7,2020.0,12.0,8.0,12.8,18.5,15.0,15.0,8.0
8,2020.0,12.0,9.0,11.2,16.5,14.1,14.1,8.0
9,2020.0,12.0,10.0,11.6,19.5,14.4,14.4,8.0
10,2020.0,12.0,11.0,10.8,18.3,14.5,14.5,8.0
11,2020.0,12.0,12.0,11.9,15.3,14.4,14.4,8.0
12,2020.0,12.0,13.0,10.4,17.8,13.3,13.3,8.0
13,2020.0,12.0,14.0,9.0,16.3,13.5,13.5,8.0
14,2020.0,12.0,15.0,10.3,14.9,13.3,13.3,8.0
15,2020.0,12.0,16.0,10.4,16.5,12.8,12.8,8.0
16,2020.0,12.0,17.0,10.2,15.9,13.0,13.0,8.0
17,2020.0,12.0,18.0,10.9,17.5,13.7,13.7,8.0
18,2020.0,12.0,19.0,10.2,17.2,14.0,14.0,8.0
19,2020.0,12.0,20.0,11.0,17.5,13.7,13.7,8.0
20,2020.0,12.0,21.0,11.0,16.4,13.8,13.8,8.0
21,2020.0,12.0,22.0,11.5,18.0,14.4,14.4,8.0
22,2020.0,12.0,23.0,11.5,19.2,15.3,15.3,8.0
23,2020.0,12.0,24.0,13.0,21.0,16.8,16.8,8.0
24,2020.0,12.0,25.0,15.0,20.1,17.1,17.1,8.0
25,2020.0,12.0,26.0,13.2,18.5,16.0,16.0,8.0
26,2020.0,12.0,27.0,14.2,20.9,16.7,16.7,8.0
27,2020.0,12.0,28.0,15.3,24.5,19.0,19.0,8.0
28,2020.0,12.0,29.0,13.5,20.7,17.1,17.1,8.0
29,2020.0,12.0,30.0,10.5,18.5,14.7,14.7,8.0
30,2020.0,12.0,31.0,12.5,18.2,14.7,14.7,8.0
0,2021.0,1.0,1.0,12.7,18.5,15.4,15.4,8.0
1,2021.0,1.0,2.0,12.5,20.1,15.4,15.4,8.0
2,2021.0,1.0,3.0,14.8,18.5,16.2,16.2,8.0
3,2021.0,1.0,4.0,12.0,19.3,14.8,14.8,8.0
4,2021.0,1.0,5.0,11.9,17.0,14.6,14.6,8.0
5,2021.0,1.0,6.0,12.0,19.1,14.7,14.7,8.0
6,2021.0,1.0,7.0,12.2,17.0,15.1,15.1,8.0
7,2021.0,1.0,8.0,11.5,18.9,13.8,13.8,8.0
8,2021.0,1.0,9.0,9.2,19.5,14.8,14.8,8.0
9,2021.0,1.0,10.0,12.8,18.2,14.7,14.7,8.0
10,2021.0,1.0,11.0,10.2,17.0,13.5,13.5,8.0
11,2021.0,1.0,12.0,11.5,17.3,13.5,13.5,8.0
12,2021.0,1.0,13.0,10.5,17.0,13.7,13.7,8.0
13,2021.0,1.0,14.0,11.5,18.0,14.3,14.3,8.0
14,2021.0,1.0,15.0,13.8,19.4,15.8,15.8,8.0
15,2021.0,1.0,16.0,12.6,17.7,15.0,15.0,8.0
16,2021.0,1.0,17.0,13.0,18.0,15.2,15.2,8.0
17,2021.0,1.0,18.0,13.0,18.4,15.6,15.6,8.0
18,2021.0,1.0,19.0,12.8,18.5,14.9,14.9,8.0
19,2021.0,1.0,20.0,13.1,17.2,14.9,14.9,8.0
20,2021.0,1.0,21.0,13.0,17.5,15.1,15.1,8.0
21,2021.0,1.0,22.0,13.4,20.0,16.2,16.2,8.0
22,2021.0,1.0,23.0,14.0,22.0,16.1,16.1,8.0
23,2021.0,1.0,24.0,13.5,17.7,15.5,15.5,8.0
24,2021.0,1.0,25.0,13.0,19.0,15.3,15.3,8.0
25,2021.0,1.0,26.0,13.0,18.2,15.6,15.6,8.0
26,2021.0,1.0,27.0,12.0,20.4,15.8,15.8,8.0
27,2021.0,1.0,28.0,12.5,16.9,14.9,14.9,8.0
28,2021.0,1.0,29.0,14.0,20.0,15.9,15.9,8.0
29,2021.0,1.0,30.0,10.5,18.0,14.7,14.7,8.0
30,2021.0,1.0,31.0,12.7,18.3,15.0,15.0,8.0
0,2021.0,2.0,1.0,11.3,17.0,15.1,15.1,8.0
1,2021.0,2.0,2.0,12.9,20.2,15.5,15.5,8.0
2,2021.0,2.0,3.0,12.1,18.9,15.1,15.1,8.0
3,2021.0,2.0,4.0,12.6,24.3,17.1,17.1,8.0
4,2021.0,2.0,5.0,12.4,20.0,15.7,15.7,8.0
5,2021.0,2.0,6.0,13.6,17.4,15.2,15.2,8.0
6,2021.0,2.0,7.0,14.5,18.8,15.9,15.9,8.0
7,2021.0,2.0,8.0,13.7,18.4,15.6,15.6,8.0
8,2021.0,2.0,9.0,10.1,23.5,16.7,16.7,8.0
9,2021.0,2.0,10.0,14.0,22.1,18.0,18.0,8.0
10,2021.0,2.0,11.0,13.2,19.3,16.4,16.8,7.0
11,2021.0,2.0,12.0,14.7,19.5,16.4,16.4,8.0
12,2021.0,2.0,13.0,11.3,17.8,15.6,15.6,8.0
13,2021.0,2.0,14.0,13.6,19.2,15.6,15.6,8.0
14,2021.0,2.0,15.0,11.2,16.9,14.9,14.9,8.0
15,2021.0,2.0,16.0,11.5,17.9,14.1,14.1,8.0
16,2021.0,2.0,17.0,9.2,22.3,14.4,14.4,8.0
17,2021.0,2.0,18.0,11.0,18.4,14.6,14.6,8.0
18,2021.0,2.0,19.0,10.0,16.3,13.6,13.6,8.0
19,2021.0,2.0,20.0,12.0,18.4,13.8,13.8,8.0
20,2021.0,2.0,21.0,10.2,20.0,15.1,15.1,8.0
21,2021.0,2.0,22.0,11.0,18.6,14.6,14.6,8.0
22,2021.0,2.0,23.0,10.2,16.5,14.3,14.3,8.0
23,2021.0,2.0,24.0,13.0,21.3,15.8,15.8,8.0
24,2021.0,2.0,25.0,10.8,15.5,14.3,14.3,8.0
25,2021.0,2.0,26.0,12.0,16.4,14.0,14.0,8.0
26,2021.0,2.0,27.0,10.4,15.5,13.7,13.7,8.0
27,2021.0,2.0,28.0,12.4,19.7,14.9,14.9,8.0
0,2021.0,3.0,1.0,12.8,19.0,15.5,15.5,8.0
1,2021.0,3.0,2.0,12.9,19.5,15.5,15.5,8.0
2,2021.0,3.0,3.0,13.3,20.5,16.5,16.5,8.0
3,2021.0,3.0,4.0,13.3,21.5,16.0,16.0,8.0
4,2021.0,3.0,5.0,12.5,19.0,16.9,16.9,8.0
5,2021.0,3.0,6.0,11.3,22.2,15.7,15.7,8.0
6,2021.0,3.0,7.0,12.8,20.0,17.1,17.1,8.0
7,2021.0,3.0,8.0,13.1,19.2,15.3,15.3,8.0
8,2021.0,3.0,9.0,12.5,19.6,15.6,15.6,8.0
9,2021.0,3.0,10.0,14.8,19.8,16.2,16.2,8.0
10,2021.0,3.0,11.0,9.6,18.0,13.9,13.9,8.0
11,2021.0,3.0,12.0,12.5,18.5,15.0,15.0,8.0
12,2021.0,3.0,13.0,12.2,17.0,14.7,14.7,8.0
13,2021.0,3.0,14.0,10.5,18.5,13.7,13.7,8.0
14,2021.0,3.0,15.0,12.5,17.4,13.9,13.9,8.0
15,2021.0,3.0,16.0,11.3,18.3,14.6,14.6,8.0
16,2021.0,3.0,17.0,12.0,23.5,15.2,15.2,8.0
17,2021.0,3.0,18.0,12.8,18.2,15.1,15.1,8.0
18,2021.0,3.0,19.0,11.2,17.5,14.0,14.0,8.0
19,2021.0,3.0,20.0,13.8,22.0,16.5,16.5,8.0
20,2021.0,3.0,21.0,12.8,20.8,16.1,16.1,8.0
21,2021.0,3.0,22.0,12.2,17.7,15.4,15.4,8.0
22,2021.0,3.0,23.0,7.4,19.0,13.7,13.7,8.0
23,2021.0,3.0,24.0,11.6,17.3,13.6,13.6,8.0
24,2021.0,3.0,25.0,10.7,15.4,13.1,13.1,8.0
25,2021.0,3.0,26.0,10.8,16.5,13.3,13.3,8.0
26,2021.0,3.0,27.0,11.0,17.5,13.7,13.7,8.0
27,2021.0,3.0,28.0,11.8,17.6,14.4,14.4,8.0
28,2021.0,3.0,29.0,11.7,17.0,13.9,13.9,8.0
29,2021.0,3.0,30.0,10.5,14.5,12.6,12.6,8.0
30,2021.0,3.0,31.0,11.7,14.8,13.4,13.4,8.0
0,2021.0,4.0,1.0,12.5,16.0,13.5,13.5,8.0
1,2021.0,4.0,2.0,12.6,16.2,14.0,14.0,8.0
2,2021.0,4.0,3.0,10.9,15.7,13.2,13.2,8.0
3,2021.0,4.0,4.0,11.0,18.3,13.1,13.1,8.0
4,2021.0,4.0,5.0,12.0,16.3,14.0,14.0,8.0
5,2021.0,4.0,6.0,11.8,16.8,14.2,14.2,8.0
6,2021.0,4.0,7.0,12.2,15.0,13.9,13.9,8.0
7,2021.0,4.0,8.0,11.5,17.2,13.6,13.6,8.0
8,2021.0,4.0,9.0,10.9,15.5,13.1,13.1,8.0
9,2021.0,4.0,10.0,11.7,16.5,13.3,13.3,8.0
10,2021.0,4.0,11.0,8.0,18.1,12.5,12.5,8.0
11,2021.0,4.0,12.0,12.8,19.2,15.1,15.1,8.0
12,2021.0,4.0,13.0,11.6,17.9,15.1,15.1,8.0
13,2021.0,4.0,14.0,14.4,21.3,15.9,15.9,8.0
14,2021.0,4.0,15.0,12.0,18.2,14.7,14.7,8.0
15,2021.0,4.0,16.0,11.9,20.9,14.4,14.4,8.0
16,2021.0,4.0,17.0,10.9,17.4,14.3,14.3,8.0
17,2021.0,4.0,18.0,12.8,16.2,14.2,14.2,8.0
18,2021.0,4.0,19.0,13.3,15.3,14.7,14.7,8.0
19,2021.0,4.0,20.0,14.6,16.5,14.3,14.3,8.0
20,2021.0,4.0,21.0,10.9,15.0,12.6,12.6,8.0
21,2021.0,4.0,22.0,6.2,15.0,11.7,11.7,8.0
22,2021.0,4.0,23.0,10.5,16.5,12.2,12.2,8.0
23,2021.0,4.0,24.0,10.3,15.5,12.7,12.7,8.0
24,2021.0,4.0,25.0,12.5,17.5,14.1,14.1,8.0
25,2021.0,4.0,26.0,11.3,16.0,14.0,14.0,8.0
26,2021.0,4.0,27.0,11.0,16.5,13.3,13.3,8.0
27,2021.0,4.0,28.0,12.2,19.5,15.7,15.7,8.0
28,2021.0,4.0,29.0,11.5,15.0,12.9,12.9,8.0
29,2021.0,4.0,30.0,11.7,15.5,13.4,13.4,8.0
0,2021.0,5.0,1.0,12.8,14.7,13.9,13.9,8.0
1,2021.0,5.0,2.0,11.2,15.0,12.8,12.8,8.0
2,2021.0,5.0,3.0,7.5,15.3,11.8,11.8,8.0
3,2021.0,5.0,4.0,9.0,14.7,11.9,11.9,8.0
4,2021.0,5.0,5.0,6.9,16.0,12.1,12.1,8.0
5,2021.0,5.0,6.0,10.5,18.3,13.6,13.6,8.0
6,2021.0,5.0,7.0,10.9,16.0,13.1,13.1,8.0
7,2021.0,5.0,8.0,11.0,15.3,13.6,13.6,8.0
8,2021.0,5.0,9.0,11.6,15.7,13.1,13.1,8.0
9,2021.0,5.0,10.0,8.9,14.0,12.0,12.0,8.0
10,2021.0,5.0,11.0,9.5,15.5,12.3,12.3,8.0
11,2021.0,5.0,12.0,7.5,18.9,12.2,12.2,8.0
12,2021.0,5.0,13.0,10.7,14.0,13.1,13.1,8.0
13,2021.0,5.0,14.0,11.5,15.0,13.1,13.1,8.0
14,2021.0,5.0,15.0,11.5,15.3,12.9,12.9,8.0
15,2021.0,5.0,16.0,10.1,14.0,11.8,11.8,8.0
16,2021.0,5.0,17.0,7.5,16.0,11.9,11.9,8.0
17,2021.0,5.0,18.0,7.0,19.5,12.9,12.9,8.0
18,2021.0,5.0,19.0,10.2,14.0,13.7,13.7,8.0
19,2021.0,5.0,20.0,9.5,15.0,12.0,12.0,8.0
20,2021.0,5.0,21.0,9.5,14.1,11.3,11.3,8.0
21,2021.0,5.0,22.0,9.1,14.0,11.7,11.7,8.0
22,2021.0,5.0,23.0,5.5,13.0,9.9,9.9,8.0
23,2021.0,5.0,24.0,11.2,15.3,12.7,12.7,8.0
24,2021.0,5.0,25.0,9.7,14.5,12.9,12.9,8.0
25,2021.0,5.0,26.0,12.0,14.8,13.8,13.8,8.0
26,2021.0,5.0,27.0,13.0,17.3,13.9,13.9,8.0
27,2021.0,5.0,28.0,10.2,16.0,12.7,12.7,8.0
28,2021.0,5.0,29.0,7.0,13.4,10.7,10.7,8.0
29,2021.0,5.0,30.0,8.5,14.4,10.5,10.5,8.0
30,2021.0,5.0,31.0,10.2,15.5,13.8,13.8,8.0
0,2021.0,6.0,1.0,14.5,15.7,15.0,15.0,8.0
