Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1987,10,1 ,s/p,s/p,s/p,s/p,s/p,s/p
1987,10,2 ,s/p,s/p,s/p,s/p,s/p,s/p
1987,10,3 ,s/p,s/p,s/p,s/p,s/p,s/p
1987,10,4 ,s/p,s/p,s/p,s/p,s/p,s/p
1987,10,5 ,s/p,s/p,s/p,s/p,s/p,s/p
1987,10,6 ,s/p,s/p,s/p,s/p,s/p,s/p
1987,10,7 ,s/p,s/p,s/p,s/p,s/p,s/p
1987,10,8 ,s/p,s/p,s/p,s/p,s/p,s/p
1987,10,9 ,s/p,0.0,s/p,4.2,4.2,4.2
1987,10,10 ,5.8,11.6,s/p,14.4,31.8,36.0
1987,10,11 ,0.3,s/p,s/p,s/p,0.3,36.3
1987,10,12 ,s/p,s/p,s/p,s/p,s/p,36.3
1987,10,13 ,s/p,s/p,s/p,s/p,s/p,36.3
1987,10,14 ,0.1,26.1,s/p,2.3,28.5,64.8
1987,10,15 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,16 ,,s/p,s/p,s/p,s/p,64.8
1987,10,17 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,18 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,19 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,20 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,21 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,22 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,23 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,24 ,s/p,,s/p,s/p,s/p,64.8
1987,10,25 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,26 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,27 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,28 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,29 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,30 ,s/p,s/p,s/p,s/p,s/p,64.8
1987,10,31 ,s/p,s/p,s/p,s/p,s/p,64.8
