Annio,Mes,Dia,(12-18],(18-00],(00-06],(06-12],SumaDiaria,AcumuladoMensual
1972,8,1 ,,,,,3.0,3.0
1972,8,2 ,,,,,s/p,3.0
1972,8,3 ,,,,,s/p,3.0
1972,8,4 ,,,,,s/p,3.0
1972,8,5 ,,,,,s/p,3.0
1972,8,6 ,,,,,s/p,3.0
1972,8,7 ,,,,,s/p,3.0
1972,8,8 ,,,,,s/p,3.0
1972,8,9 ,,,,,s/p,3.0
1972,8,10 ,,,,,s/p,3.0
1972,8,11 ,,,,,15.0,18.0
1972,8,12 ,,,,,s/p,18.0
1972,8,13 ,,,,,s/p,18.0
1972,8,14 ,,,,,s/p,18.0
1972,8,15 ,,,,,64.0,82.0
1972,8,16 ,,,,,s/p,82.0
1972,8,17 ,,,,,2.0,84.0
1972,8,18 ,,,,,3.0,87.0
1972,8,19 ,,,,,s/p,87.0
1972,8,20 ,,,,,s/p,87.0
1972,8,21 ,,,,,s/p,87.0
1972,8,22 ,,,,,s/p,87.0
1972,8,23 ,,,,,s/p,87.0
1972,8,24 ,,,,,23.0,110.0
1972,8,25 ,,,,,s/p,110.0
1972,8,26 ,,,,,s/p,110.0
1972,8,27 ,,,,,s/p,110.0
1972,8,28 ,,,,,s/p,110.0
1972,8,29 ,,,,,s/p,110.0
1972,8,30 ,,,,,s/p,110.0
1972,8,31 ,,,,,s/p,110.0
